,0,1
173,112561,10205
174,11863,10205
175,4687,10205
176,151384,10205
177,17414,10205
178,4,10205
179,6692,10205
180,8338,10205
181,78080,10205
182,16307,10205
183,13635,10205
184,6588,10205
185,11318,10205
186,10774,10205
187,77013,10205
188,18315,10205
189,10556,10205
190,61178,10205
191,20879,10205
192,71727,10205
193,5047,10205
194,821,10205
195,53936,10205
196,98215,59231
197,68278,59231
198,65731,59231
199,42317,59231
200,10964,59231
201,3223,59231
202,19384,59231
203,18262,59231
204,21088,59231
205,4492,59231
206,21007,59231
207,7399,59231
208,5587,59231
209,32907,59231
210,9626,59231
211,17401,59231
212,15033,59231
213,10825,59231
214,4937,59231
215,60949,59231
216,35654,59231
217,23532,59231
218,20818,59231
219,28238,59231
220,20819,59231
221,21163,59231
222,26852,59231
223,5139,59231
224,35596,59231
225,53117,59231
226,62596,59231
227,98215,32747
228,68278,32747
229,65731,32747
230,42317,32747
231,10964,32747
232,59231,32747
233,1771,32747
234,85,32747
235,3894,32747
236,941,32747
237,19159,32747
238,233298,32747
239,1979,32747
240,2954,32747
241,1240490,32747
242,6280,32747
243,1115,32747
244,8349,32747
245,2878,32747
246,16431,32747
247,16431,32747
248,2053,32747
249,1954,32747
250,1229,32747
251,6856,32747
252,76512,32747
253,38673,32747
254,27031,32747
255,71562,32747
256,1461,32747
257,12132,32747
258,13022,32747
259,5576,32747
260,1226707,32747
261,8289,32747
262,10017,32747
263,1371,32747
264,418,32747
265,418,32747
266,17941,32747
267,3087,32747
268,10823,32747
269,785,32747
270,1953,32747
271,52647,32747
272,10822,32747
273,51792,32747
274,40543,32747
275,16483,32747
276,38405,32747
277,105641,32747
278,32897,32747
279,105786,32747
280,17039,32747
281,2712,32747
282,2692,32747
283,6952,32747
284,9029,32747
285,12646,32747
286,12646,32747
287,17764,32747
288,31512,32747
289,54789,32747
290,86498,32747
291,12518,32747
292,85142,32747
293,4316,32747
294,98215,1771
295,68278,1771
296,65731,1771
297,42317,1771
298,10964,1771
299,59231,1771
300,32747,1771
301,85,1771
302,21505,1771
303,20582,1771
304,192,1771
305,3894,1771
306,3896,1771
307,17419,1771
308,17419,1771
309,19152,1771
310,53650,1771
311,16851,1771
312,12834,1771
313,1240490,1771
314,207,1771
315,51303,1771
316,1115,1771
317,51300,1771
318,8349,1771
319,3492,1771
320,21134,1771
321,81685,1771
322,74949,1771
323,2387,1771
324,980,1771
325,11107,1771
326,1230,1771
327,51797,1771
328,452205,1771
329,8169,1771
330,13240,1771
331,8854,1771
332,134,1771
333,13242,1771
334,1229,1771
335,11159,1771
336,31,1771
337,31,1771
338,155,1771
339,12835,1771
340,12835,1771
341,76512,1771
342,94864,1771
343,56365,1771
344,5538,1771
345,38673,1771
346,18792,1771
347,17200,1771
348,9642,1771
349,9642,1771
350,8265,1771
351,35013,1771
352,1892,1771
353,1233,1771
354,55636,1771
355,2963,1771
356,9777,1771
357,10128,1771
358,5576,1771
359,5576,1771
360,1226707,1771
361,9657,1771
362,8289,1771
363,4512,1771
364,16857,1771
365,59841,1771
366,154883,1771
367,103833,1771
368,103833,1771
369,1733,1771
370,18324,1771
371,41379,1771
372,17859,1771
373,3129,1771
374,454,1771
375,454,1771
376,18082,1771
377,41020,1771
378,1371,1771
379,10825,1771
380,202930,1771
381,418,1771
382,36422,1771
383,17941,1771
384,2224,1771
385,228,1771
386,1894,1771
387,1894,1771
388,4937,1771
389,41686,1771
390,8986,1771
391,3087,1771
392,1582,1771
393,785,1771
394,785,1771
395,1953,1771
396,52647,1771
397,52647,1771
398,10822,1771
399,51792,1771
400,40543,1771
401,4253,1771
402,16937,1771
403,16937,1771
404,59844,1771
405,85170,1771
406,824,1771
407,85419,1771
408,4941,1771
409,518,1771
410,2228,1771
411,4139,1771
412,14991,1771
413,17355,1771
414,4654,1771
415,12833,1771
416,4451,1771
417,12836,1771
418,12836,1771
419,52139,1771
420,52139,1771
421,6163,1771
422,63238,1771
423,3907,1771
424,58019,1771
425,333,1771
426,333,1771
427,52057,1771
428,1473,1771
429,43858,1771
430,18688,1771
431,17243,1771
432,743,1771
433,7497,1771
434,51670,1771
435,1117,1771
436,239271,1771
437,1062,1771
438,10430,1771
439,2969,1771
440,30614,1771
441,21675,1771
442,31711,1771
443,17637,1771
444,60650,1771
445,459980,1771
446,2454,1771
447,1578,1771
448,20752,1771
449,98215,15853
450,68278,15853
451,65731,15853
452,42317,15853
453,10964,15853
454,59231,15853
455,32747,15853
456,1771,15853
457,1771,15853
458,3896,15853
459,11207,15853
460,1240490,15853
461,1926,15853
462,134,15853
463,938,15853
464,1665,15853
465,290,15853
466,8265,15853
467,1284,15853
468,18916,15853
469,12132,15853
470,4935,15853
471,140250,15853
472,865,15853
473,7399,15853
474,5587,15853
475,10182,15853
476,15111,15853
477,103833,15853
478,37008,15853
479,21380,15853
480,19468,15853
481,3905,15853
482,5129,15853
483,41686,15853
484,16937,15853
485,2141,15853
486,10814,15853
487,85419,15853
488,7868,15853
489,6804,15853
490,4515,15853
491,52139,15853
492,333,15853
493,16293,15853
494,2314,15853
495,65164,15853
496,67602,15853
497,1062,15853
498,4001,15853
499,58924,15853
500,11067,15853
501,26473,15853
502,2454,15853
503,30485,17647
504,42286,17647
505,10205,17647
506,125025,17647
507,90633,17647
508,90633,17647
509,22123,17647
510,22123,17647
511,22123,17647
512,65345,17647
513,6944,17647
514,63522,17647
515,8170,17647
516,56731,17647
517,56731,17647
518,18354,17647
519,7055,17647
520,63,17647
521,63,17647
522,57674,17647
523,67599,17647
524,57192,17647
525,7059,17647
526,7059,17647
527,17303,17647
528,55085,17647
529,21027,17647
530,30485,8691
531,42286,8691
532,10205,8691
533,10205,8691
534,17647,8691
535,2452,8691
536,8293,8691
537,1480130,8691
538,205,8691
539,8786,8691
540,59860,8691
541,21041,8691
542,15761,8691
543,1192492,8691
544,41421,8691
545,41421,8691
546,17352,8691
