,0,1
149,2983,57675
150,2983,8785
151,2983,19159
152,2983,118617
153,2983,60900
154,5293,21044
155,5293,57675
156,5293,8785
157,5293,19159
158,5293,118617
159,5293,60900
160,21044,57675
161,21044,8785
162,21044,19159
163,21044,118617
164,21044,60900
165,57675,8785
166,57675,19159
167,57675,118617
168,57675,60900
169,8785,19159
170,8785,118617
171,8785,60900
172,19159,118617
173,19159,60900
174,118617,60900
175,2372,4175
176,2372,18
177,2372,22132
178,2372,2517
179,2372,16855
180,4175,18
181,4175,22132
182,4175,2517
183,4175,16855
184,18,22132
185,18,2517
186,18,16855
187,22132,2517
188,22132,16855
189,2517,16855
190,6162,53650
191,6162,71189
192,6162,3223
193,6162,1817
194,6162,39459
195,6162,27428
196,6162,3491
197,6162,1333
198,6162,2231
199,6162,16828
200,6162,17604
201,6162,17605
202,6162,74568
203,6162,7624
204,6162,16851
205,6162,1245
206,6162,103
207,6162,1896
208,6162,1640
209,6162,13548
210,6162,7030
211,6162,1146
212,53650,71189
213,53650,3223
214,53650,1817
215,53650,39459
216,53650,27428
217,53650,3491
218,53650,1333
219,53650,2231
220,53650,16828
221,53650,17604
222,53650,17605
223,53650,74568
224,53650,7624
225,53650,16851
226,53650,1245
227,53650,103
228,53650,1896
229,53650,1640
230,53650,13548
231,53650,7030
232,53650,1146
233,71189,3223
234,71189,1817
235,71189,39459
236,71189,27428
237,71189,3491
238,71189,1333
239,71189,2231
240,71189,16828
241,71189,17604
242,71189,17605
243,71189,74568
244,71189,7624
245,71189,16851
246,71189,1245
247,71189,103
248,71189,1896
249,71189,1640
250,71189,13548
251,71189,7030
252,71189,1146
253,3223,1817
254,3223,39459
255,3223,27428
256,3223,3491
257,3223,1333
258,3223,2231
259,3223,16828
260,3223,17604
261,3223,17605
262,3223,74568
263,3223,7624
264,3223,16851
265,3223,1245
266,3223,103
267,3223,1896
268,3223,1640
269,3223,13548
270,3223,7030
271,3223,1146
272,1817,39459
273,1817,27428
274,1817,3491
275,1817,1333
276,1817,2231
277,1817,16828
278,1817,17604
279,1817,17605
280,1817,74568
281,1817,7624
282,1817,16851
283,1817,1245
284,1817,103
285,1817,1896
286,1817,1640
287,1817,13548
288,1817,7030
289,1817,1146
290,39459,27428
291,39459,3491
292,39459,1333
293,39459,2231
294,39459,16828
295,39459,17604
296,39459,17605
297,39459,74568
298,39459,7624
299,39459,16851
300,39459,1245
301,39459,103
302,39459,1896
303,39459,1640
304,39459,13548
305,39459,7030
306,39459,1146
307,27428,3491
308,27428,1333
309,27428,2231
310,27428,16828
311,27428,17604
312,27428,17605
313,27428,74568
314,27428,7624
315,27428,16851
316,27428,1245
317,27428,103
318,27428,1896
319,27428,1640
320,27428,13548
321,27428,7030
322,27428,1146
323,3491,1333
324,3491,2231
325,3491,16828
326,3491,17604
327,3491,17605
328,3491,74568
329,3491,7624
330,3491,16851
331,3491,1245
332,3491,103
333,3491,1896
334,3491,1640
335,3491,13548
336,3491,7030
337,3491,1146
338,1333,2231
339,1333,16828
340,1333,17604
341,1333,17605
342,1333,74568
343,1333,7624
344,1333,16851
345,1333,1245
346,1333,103
347,1333,1896
348,1333,1640
349,1333,13548
350,1333,7030
351,1333,1146
352,2231,16828
353,2231,17604
354,2231,17605
355,2231,74568
