,0,1
472,535,8654
473,535,2524
474,535,24045
475,535,2037
476,535,20469
477,535,8191
478,539,1580574
479,539,22075
480,539,64
481,539,125025
482,539,8293
483,539,40039
484,539,20582
485,539,15011
486,539,192
487,539,6365
488,539,36594
489,539,1813
490,539,1098036
491,539,3894
492,539,3895
493,539,3896
494,539,83271
495,539,21416
496,539,941
497,539,10689
498,539,1480130
499,539,16841
500,539,8654
501,539,2524
502,539,24045
503,539,2037
504,539,20469
505,539,8191
506,1580574,22075
507,1580574,64
508,1580574,125025
509,1580574,8293
510,1580574,40039
511,1580574,20582
512,1580574,15011
513,1580574,192
514,1580574,6365
515,1580574,36594
516,1580574,1813
517,1580574,1098036
518,1580574,3894
519,1580574,3895
520,1580574,3896
521,1580574,83271
522,1580574,21416
523,1580574,941
524,1580574,10689
525,1580574,1480130
526,1580574,16841
527,1580574,8654
528,1580574,2524
529,1580574,24045
530,1580574,2037
531,1580574,20469
532,1580574,8191
533,22075,64
534,22075,125025
535,22075,8293
536,22075,40039
537,22075,20582
538,22075,15011
539,22075,192
540,22075,6365
541,22075,36594
542,22075,1813
543,22075,1098036
544,22075,3894
545,22075,3895
546,22075,3896
547,22075,83271
548,22075,21416
549,22075,941
550,22075,10689
551,22075,1480130
552,22075,16841
553,22075,8654
554,22075,2524
555,22075,24045
556,22075,2037
557,22075,20469
558,22075,8191
559,64,125025
560,64,8293
561,64,40039
562,64,20582
563,64,15011
564,64,192
565,64,6365
566,64,36594
567,64,1813
568,64,1098036
569,64,3894
570,64,3895
571,64,3896
572,64,83271
573,64,21416
574,64,941
575,64,10689
576,64,1480130
577,64,16841
578,64,8654
579,64,2524
580,64,24045
581,64,2037
582,64,20469
583,64,8191
584,125025,8293
585,125025,40039
586,125025,20582
587,125025,15011
588,125025,192
589,125025,6365
590,125025,36594
591,125025,1813
592,125025,1098036
593,125025,3894
594,125025,3895
595,125025,3896
596,125025,83271
597,125025,21416
598,125025,941
599,125025,10689
600,125025,1480130
601,125025,16841
602,125025,8654
603,125025,2524
604,125025,24045
605,125025,2037
606,125025,20469
607,125025,8191
608,8293,40039
609,8293,20582
610,8293,15011
611,8293,192
612,8293,6365
613,8293,36594
614,8293,1813
615,8293,1098036
616,8293,3894
617,8293,3895
618,8293,3896
619,8293,83271
620,8293,21416
621,8293,941
622,8293,10689
623,8293,1480130
624,8293,16841
625,8293,8654
626,8293,2524
627,8293,24045
628,8293,2037
629,8293,20469
630,8293,8191
631,40039,20582
632,40039,15011
633,40039,192
634,40039,6365
635,40039,36594
636,40039,1813
637,40039,1098036
638,40039,3894
639,40039,3895
640,40039,3896
641,40039,83271
642,40039,21416
643,40039,941
644,40039,10689
645,40039,1480130
646,40039,16841
647,40039,8654
648,40039,2524
649,40039,24045
650,40039,2037
651,40039,20469
652,40039,8191
653,20582,15011
654,20582,192
655,20582,6365
656,20582,36594
657,20582,1813
658,20582,1098036
659,20582,3894
660,20582,3895
661,20582,3896
662,20582,83271
663,20582,21416
664,20582,941
665,20582,10689
666,20582,1480130
667,20582,16841
668,20582,8654
669,20582,2524
670,20582,24045
671,20582,2037
672,20582,20469
673,20582,8191
674,15011,192
675,15011,6365
676,15011,36594
677,15011,1813
678,15011,1098036
679,15011,3894
680,15011,3895
681,15011,3896
682,15011,83271
683,15011,21416
684,15011,941
685,15011,10689
686,15011,1480130
687,15011,16841
688,15011,8654
689,15011,2524
690,15011,24045
691,15011,2037
692,15011,20469
693,15011,8191
694,192,6365
695,192,36594
696,192,1813
697,192,1098036
698,192,3894
699,192,3895
700,192,3896
701,192,83271
702,192,21416
703,192,941
704,192,10689
705,192,1480130
706,192,16841
707,192,8654
708,192,2524
709,192,24045
710,192,2037
711,192,20469
712,192,8191
713,6365,36594
714,6365,1813
715,6365,1098036
716,6365,3894
717,6365,3895
718,6365,3896
719,6365,83271
720,6365,21416
721,6365,941
722,6365,10689
723,6365,1480130
724,6365,16841
725,6365,8654
726,6365,2524
727,6365,24045
728,6365,2037
729,6365,20469
730,6365,8191
731,36594,1813
732,36594,1098036
733,36594,3894
734,36594,3895
735,36594,3896
736,36594,83271
737,36594,21416
738,36594,941
739,36594,10689
740,36594,1480130
741,36594,16841
742,36594,8654
743,36594,2524
744,36594,24045
745,36594,2037
746,36594,20469
747,36594,8191
748,1813,1098036
749,1813,3894
750,1813,3895
751,1813,3896
752,1813,83271
753,1813,21416
754,1813,941
755,1813,10689
756,1813,1480130
757,1813,16841
758,1813,8654
759,1813,2524
760,1813,24045
761,1813,2037
